Day,Adjusted price
675,11996.90039
676,12008.79981
677,11870.90039
678,11911.59961
679,11786
680,11779.5
681,11861.40039
682,11763.40039
683,11631.90039
684,11661.79981
685,11537.79981
686,11654.90039
687,11636.2002
688,11453.7002
689,11528.29981
690,11549.09961
691,11606.40039
692,11799.2002
693,11934
694,12040.29981
695,12102.29981
696,12145.40039
697,12131.7002
698,12167.79981
699,12074.29981
700,11880.09961
701,11778
702,11843.2002
703,11766.59961
704,11746.79981
705,11527.79981
706,11592.40039
707,11701.5
708,11706.7002
709,11820.29981
710,11786.2002
711,11788.90039
712,11650.29981
713,11615.59961
714,11552.09961
715,11443
716,11188.59961
717,10994.59961
718,10570.59961
719,10313.09961
720,9862
721,10090.5
722,9891
723,10139.7002
724,10432.09961
725,10531.79981
726,10412.7002
727,10369.40039
728,9860.200195
729,9759.099609
730,9854.799805
731,9922.099609
732,10041.59961
733,10021.40039
734,9997.099609
735,10243.2002
736,10525.90039
737,10576.79981
738,10381
739,10084.09961
740,10071.2002
741,10321.29981
742,10365.09961
743,10151.40039
744,9983.799805
745,10011.09961
746,10107.90039
747,10324.09961
748,10428.2002
749,10229
750,10308.59961
751,10266
752,9888.299805
753,9815.5
754,9839.200195
755,10127.09961
756,10038.7002
757,9985.5
758,9819.400391
759,9750.599609
760,9425.900391
761,9567.799805
762,9888.599609
763,9958
764,10140.79981
765,10155.09961
766,10320
767,10230.5
768,10338.5
769,10250.40039
770,10178.90039
771,10231.79981
772,10111.09961
773,10265.5
774,10469.09961
775,10428.40039
776,10422.40039
777,10733.29981
778,10773.09961
779,10479.7002
780,10167.59961
781,10251.7002
782,10406.7002
783,10387.79981
784,10302.2002
785,10419.29981
786,10268.90039
787,10187.40039
788,10389.29981
789,10347.79981
790,10260.09961
791,10275.59961
792,10150.29981
793,10044.40039
794,9767.900391
795,9703.099609
796,9568.799805
797,9601.900391
798,9640.299805
799,9908.5
800,10031.59961
801,10315.29981
802,10203.79981
803,10307.29981
804,10368.29981
805,10312.29981
806,10280.2002
807,10086.09961
808,10130.59961
809,9901.200195
810,9961
811,9744.200195
812,9827.299805
813,9803.200195
814,9748.400391
815,9868.400391
816,9843
817,9903.599609
818,9984.200195
819,10013.2002
820,10056.29981
821,10102.90039
822,10362
823,10273.79981
824,10144.59961
825,10245.90039
826,10251.09961
827,10347.7002
828,10372.59961
829,10466.5
830,10457.7002
831,10478.59961
832,10592.2002
833,10661.09961
834,10808.29981
835,10825.90039
836,10867.59961
837,10736.90039
838,10748.40039
839,10908.79981
840,10854.7002
841,10694.2002
842,10769.40039
843,11021
844,11086.5
845,11235.2002
846,11237.7002
847,11193.7002
848,11161.90039
849,11234.59961
850,11167.59961
851,11275.59961
852,11245.7002
853,11288.90039
854,11203.40039
855,11312.2002
856,11420.2002
857,11379.5
858,11449.2002
859,11505.7002
860,11527
861,11472.09961
862,11529.2002
863,11449.5
864,11535.40039
865,11538.40039
866,11414.09961
867,11144.09961
868,11287.09961
869,11458.40039
870,11528
871,11563.90039
872,11750.09961
